model,trigger,asr_percent,clean_accuracy_percent
AT1,AT1,100.0,90.45
AT1,AT2,1.3777777777777778,90.45
AT1,AT3,1.0444444444444443,90.45
AT1,AT4,1.0888888888888888,90.45
AT1,AT5,1.3555555555555554,90.45
AT2,AT1,0.6888888888888889,89.89
AT2,AT2,99.97777777777777,89.89
AT2,AT3,0.7000000000000001,89.89
AT2,AT4,0.7111111111111111,89.89
AT2,AT5,0.8666666666666666,89.89
AT3,AT1,0.7666666666666666,90.03
AT3,AT2,0.8444444444444443,90.03
AT3,AT3,100.0,90.03
AT3,AT4,0.8666666666666666,90.03
AT3,AT5,0.8888888888888888,90.03
AT4,AT1,0.8333333333333334,90.84
AT4,AT2,0.8111111111111111,90.84
AT4,AT3,0.9222222222222222,90.84
AT4,AT4,99.9888888888889,90.84
AT4,AT5,0.5333333333333333,90.84
AT5,AT1,1.288888888888889,90.32
AT5,AT2,0.9777777777777777,90.32
AT5,AT3,1.1111111111111112,90.32
AT5,AT4,1.2,90.32
AT5,AT5,100.0,90.32
